Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
b'CO',269.0,b'SFO',b'IAH',b'3',15.0,205.0,b'1'
b'US',1558.0,b'PHX',b'CLT',b'3',15.0,222.0,b'1'
b'AA',2400.0,b'LAX',b'DFW',b'3',20.0,165.0,b'1'
b'AA',2466.0,b'SFO',b'DFW',b'3',20.0,195.0,b'1'
b'AS',108.0,b'ANC',b'SEA',b'3',30.0,202.0,b'0'
b'CO',1094.0,b'LAX',b'IAH',b'3',30.0,181.0,b'1'
b'DL',1768.0,b'LAX',b'MSP',b'3',30.0,220.0,b'0'
b'DL',2722.0,b'PHX',b'DTW',b'3',30.0,228.0,b'0'
b'DL',2606.0,b'SFO',b'MSP',b'3',35.0,216.0,b'1'
b'AA',2538.0,b'LAS',b'ORD',b'3',40.0,200.0,b'1'
b'CO',223.0,b'ANC',b'SEA',b'3',49.0,201.0,b'1'
b'DL',1646.0,b'PHX',b'ATL',b'3',50.0,212.0,b'1'
b'DL',2055.0,b'SLC',b'ATL',b'3',50.0,210.0,b'0'
b'AA',2408.0,b'LAX',b'DFW',b'3',55.0,170.0,b'0'
b'AS',132.0,b'ANC',b'PDX',b'3',55.0,215.0,b'0'
b'US',498.0,b'DEN',b'CLT',b'3',55.0,179.0,b'0'
b'B6',98.0,b'DEN',b'JFK',b'3',59.0,213.0,b'0'
b'CO',1496.0,b'LAS',b'IAH',b'3',60.0,162.0,b'0'
b'DL',1450.0,b'LAS',b'MSP',b'3',60.0,181.0,b'0'
b'CO',507.0,b'ONT',b'IAH',b'3',75.0,167.0,b'0'
b'AS',128.0,b'FAI',b'SEA',b'3',80.0,206.0,b'0'
b'DL',2223.0,b'ANC',b'SLC',b'3',85.0,270.0,b'0'
b'AS',112.0,b'ANC',b'SEA',b'3',90.0,200.0,b'0'
b'HA',17.0,b'LAS',b'HNL',b'3',100.0,380.0,b'1'
b'US',122.0,b'ANC',b'PHX',b'3',113.0,327.0,b'1'
b'AS',114.0,b'ANC',b'SEA',b'3',150.0,200.0,b'0'
b'B6',766.0,b'BQN',b'MCO',b'3',240.0,169.0,b'0'
b'B6',768.0,b'PSE',b'MCO',b'3',262.0,180.0,b'0'
b'HA',206.0,b'HNL',b'OGG',b'3',300.0,36.0,b'1'
b'OO',4746.0,b'BIS',b'MSP',b'3',300.0,85.0,b'0'
b'OO',6466.0,b'IYK',b'LAX',b'3',300.0,53.0,b'0'
b'US',1011.0,b'EWR',b'CLT',b'3',300.0,111.0,b'0'
b'US',1983.0,b'BOS',b'CLT',b'3',300.0,135.0,b'0'
b'HA',108.0,b'HNL',b'KOA',b'3',302.0,41.0,b'0'
b'OO',6900.0,b'MKE',b'ORD',b'3',302.0,44.0,b'0'
b'9E',3975.0,b'GFK',b'MSP',b'3',305.0,68.0,b'0'
b'HA',102.0,b'HNL',b'ITO',b'3',305.0,49.0,b'0'
b'OO',4829.0,b'OMA',b'MSP',b'3',305.0,75.0,b'0'
b'OH',6338.0,b'GSO',b'ATL',b'3',315.0,93.0,b'1'
b'OO',6505.0,b'LMT',b'SFO',b'3',315.0,95.0,b'0'
b'US',149.0,b'SEA',b'PHX',b'3',315.0,166.0,b'1'
b'US',1640.0,b'MCO',b'CLT',b'3',315.0,97.0,b'0'
b'US',908.0,b'TPA',b'CLT',b'3',315.0,96.0,b'0'
b'HA',106.0,b'HNL',b'OGG',b'3',317.0,36.0,b'0'
b'9E',3854.0,b'DLH',b'MSP',b'3',320.0,58.0,b'1'
b'DL',1276.0,b'MSP',b'ATL',b'3',320.0,158.0,b'0'
b'OO',4651.0,b'FAR',b'MSP',b'3',320.0,62.0,b'1'
b'CO',1585.0,b'MFE',b'IAH',b'3',325.0,64.0,b'0'
b'CO',222.0,b'MSY',b'IAH',b'3',325.0,70.0,b'0'
b'EV',4966.0,b'VPS',b'ATL',b'3',325.0,69.0,b'0'
b'US',1521.0,b'BWI',b'CLT',b'3',325.0,83.0,b'0'
b'XE',2827.0,b'MAF',b'IAH',b'3',325.0,85.0,b'0'
b'OO',4719.0,b'LWS',b'SLC',b'3',328.0,87.0,b'1'
b'9E',3702.0,b'RST',b'MSP',b'3',330.0,50.0,b'0'
b'9E',3775.0,b'ALB',b'DTW',b'3',330.0,120.0,b'1'
b'9E',3886.0,b'DSM',b'ATL',b'3',330.0,135.0,b'1'
b'AA',1711.0,b'BOS',b'MIA',b'3',330.0,210.0,b'0'
b'CO',611.0,b'EWR',b'IAH',b'3',330.0,233.0,b'0'
b'DL',1143.0,b'CHS',b'ATL',b'3',330.0,72.0,b'0'
b'DL',1511.0,b'MSN',b'DTW',b'3',330.0,80.0,b'0'
b'DL',1518.0,b'MCO',b'ATL',b'3',330.0,84.0,b'0'
b'DL',1698.0,b'JAX',b'ATL',b'3',330.0,80.0,b'0'
b'DL',1842.0,b'SAT',b'ATL',b'3',330.0,142.0,b'0'
b'DL',1972.0,b'TPA',b'ATL',b'3',330.0,85.0,b'0'
b'DL',2054.0,b'PNS',b'ATL',b'3',330.0,75.0,b'0'
b'DL',2112.0,b'BHM',b'ATL',b'3',330.0,58.0,b'0'
b'DL',2306.0,b'LIT',b'ATL',b'3',330.0,97.0,b'0'
b'DL',2711.0,b'SAV',b'ATL',b'3',330.0,65.0,b'0'
b'DL',2995.0,b'BNA',b'ATL',b'3',330.0,67.0,b'0'
b'EV',4940.0,b'OMA',b'ATL',b'3',330.0,147.0,b'0'
b'EV',5014.0,b'ICT',b'ATL',b'3',330.0,132.0,b'0'
b'EV',5044.0,b'ECP',b'ATL',b'3',330.0,68.0,b'0'
b'EV',5117.0,b'DHN',b'ATL',b'3',330.0,70.0,b'0'
b'EV',5393.0,b'MGM',b'ATL',b'3',330.0,57.0,b'0'
b'EV',5532.0,b'CAE',b'ATL',b'3',330.0,64.0,b'1'
b'EV',7108.0,b'PWM',b'IAD',b'3',330.0,114.0,b'0'
b'OO',6917.0,b'ACV',b'SMF',b'3',330.0,65.0,b'0'
b'OO',7781.0,b'EKO',b'SLC',b'3',330.0,70.0,b'0'
b'US',1289.0,b'BOS',b'PHL',b'3',330.0,84.0,b'0'
b'US',1420.0,b'PHL',b'CLT',b'3',330.0,102.0,b'0'
b'US',1732.0,b'ATL',b'CLT',b'3',330.0,68.0,b'1'
b'US',347.0,b'PDX',b'PHX',b'3',330.0,148.0,b'0'
b'US',913.0,b'RIC',b'CLT',b'3',330.0,72.0,b'0'
b'XE',2263.0,b'BTR',b'IAH',b'3',330.0,72.0,b'1'
b'XE',3024.0,b'HRL',b'IAH',b'3',330.0,70.0,b'0'
b'YV',2605.0,b'MYR',b'CLT',b'3',330.0,62.0,b'0'
b'HA',103.0,b'HNL',b'LIH',b'3',331.0,35.0,b'0'
b'UA',576.0,b'SEA',b'DEN',b'3',331.0,159.0,b'0'
b'OO',6644.0,b'TUS',b'DEN',b'3',333.0,112.0,b'0'
b'YV',7294.0,b'SBN',b'ORD',b'3',334.0,46.0,b'0'
b'9E',3661.0,b'CAK',b'DTW',b'3',335.0,76.0,b'0'
b'9E',3725.0,b'TVC',b'DTW',b'3',335.0,75.0,b'0'
b'9E',3804.0,b'CLE',b'ATL',b'3',335.0,128.0,b'0'
b'AA',674.0,b'ORD',b'MIA',b'3',335.0,185.0,b'1'
b'B6',728.0,b'BQN',b'JFK',b'3',335.0,231.0,b'0'
b'CO',463.0,b'ORD',b'IAH',b'3',335.0,164.0,b'1'
b'OH',6423.0,b'DAY',b'DTW',b'3',335.0,75.0,b'0'
b'OO',6698.0,b'MFR',b'PDX',b'3',335.0,74.0,b'0'
b'XE',2865.0,b'MKE',b'IAH',b'3',335.0,174.0,b'0'
b'EV',7101.0,b'BTV',b'IAD',b'3',336.0,110.0,b'0'
b'9E',3998.0,b'TLH',b'ATL',b'3',338.0,68.0,b'0'
b'9E',4196.0,b'TYS',b'ATL',b'3',340.0,57.0,b'0'
b'CO',214.0,b'DFW',b'IAH',b'3',340.0,59.0,b'1'
b'DL',2123.0,b'BOS',b'DTW',b'3',340.0,144.0,b'0'
b'DL',2597.0,b'RIC',b'ATL',b'3',340.0,109.0,b'0'
b'DL',2626.0,b'FLL',b'ATL',b'3',340.0,118.0,b'0'
b'DL',684.0,b'AUS',b'ATL',b'3',340.0,134.0,b'0'
b'EV',5583.0,b'CHA',b'ATL',b'3',340.0,47.0,b'0'
b'MQ',4563.0,b'CMH',b'LGA',b'3',340.0,100.0,b'0'
b'XE',2616.0,b'LRD',b'IAH',b'3',340.0,66.0,b'1'
b'XE',3006.0,b'BRO',b'IAH',b'3',340.0,70.0,b'0'
b'XE',3015.0,b'CRP',b'IAH',b'3',340.0,59.0,b'1'
b'XE',5970.0,b'LAN',b'ORD',b'3',340.0,71.0,b'0'
b'9E',3659.0,b'ALB',b'ATL',b'3',345.0,183.0,b'0'
b'9E',3862.0,b'SAT',b'MEM',b'3',345.0,119.0,b'1'
b'9E',3949.0,b'PVD',b'DTW',b'3',345.0,135.0,b'1'
b'9E',4143.0,b'FWA',b'DTW',b'3',345.0,59.0,b'0'
b'AA',1141.0,b'JFK',b'MIA',b'3',345.0,190.0,b'0'
b'AA',1297.0,b'DFW',b'MIA',b'3',345.0,160.0,b'0'
b'AA',2320.0,b'DFW',b'ORD',b'3',345.0,140.0,b'0'
b'CO',1677.0,b'PHL',b'IAH',b'3',345.0,219.0,b'0'
b'CO',1727.0,b'BWI',b'IAH',b'3',345.0,208.0,b'0'
b'CO',240.0,b'AUS',b'IAH',b'3',345.0,55.0,b'0'
b'CO',278.0,b'SAT',b'IAH',b'3',345.0,54.0,b'0'
b'CO',633.0,b'LGA',b'IAH',b'3',345.0,235.0,b'0'
b'DL',1095.0,b'OKC',b'ATL',b'3',345.0,127.0,b'0'
b'DL',1112.0,b'PIT',b'ATL',b'3',345.0,131.0,b'1'
b'DL',1506.0,b'LAX',b'DTW',b'3',345.0,270.0,b'0'
b'DL',1580.0,b'SFO',b'DTW',b'3',345.0,270.0,b'0'
b'DL',2320.0,b'PBI',b'ATL',b'3',345.0,113.0,b'0'
b'DL',2481.0,b'ORF',b'ATL',b'3',345.0,120.0,b'0'
b'DL',2710.0,b'DFW',b'ATL',b'3',345.0,132.0,b'0'
b'DL',2939.0,b'DCA',b'ATL',b'3',345.0,120.0,b'1'
b'EV',5142.0,b'AEX',b'ATL',b'3',345.0,119.0,b'0'
b'EV',5218.0,b'SYR',b'ATL',b'3',345.0,158.0,b'0'
b'EV',5233.0,b'BTR',b'ATL',b'3',345.0,97.0,b'0'
b'EV',5362.0,b'SHV',b'ATL',b'3',345.0,123.0,b'1'
b'EV',5501.0,b'VLD',b'ATL',b'3',345.0,62.0,b'0'
b'OH',6264.0,b'BDL',b'CVG',b'3',345.0,133.0,b'0'
b'OH',6549.0,b'MFE',b'MEM',b'3',345.0,118.0,b'0'
b'OO',6407.0,b'FAT',b'SFO',b'3',345.0,45.0,b'0'
b'OO',6647.0,b'BZN',b'DEN',b'3',345.0,107.0,b'0'
b'OO',6925.0,b'PHX',b'LAX',b'3',345.0,85.0,b'0'
b'OO',6964.0,b'RDM',b'PDX',b'3',345.0,58.0,b'0'
b'US',1423.0,b'DCA',b'CLT',b'3',345.0,85.0,b'0'
b'XE',2919.0,b'LFT',b'IAH',b'3',345.0,58.0,b'0'
b'XE',5951.0,b'CAK',b'ORD',b'3',345.0,95.0,b'0'
b'OO',6480.0,b'IPL',b'YUM',b'3',346.0,34.0,b'0'
b'OO',6843.0,b'EAU',b'CWA',b'3',346.0,32.0,b'0'
b'UA',756.0,b'SFO',b'DEN',b'3',348.0,158.0,b'0'
b'OO',3099.0,b'OMA',b'MKE',b'3',349.0,81.0,b'1'
b'9E',3718.0,b'ERI',b'DTW',b'3',350.0,65.0,b'1'
b'B6',107.0,b'BUF',b'JFK',b'3',350.0,83.0,b'0'
b'DL',1248.0,b'IAH',b'ATL',b'3',350.0,130.0,b'1'
b'DL',1985.0,b'DAY',b'ATL',b'3',350.0,114.0,b'0'
b'DL',2387.0,b'MKE',b'ATL',b'3',350.0,129.0,b'1'
b'DL',2405.0,b'PHL',b'DTW',b'3',350.0,115.0,b'0'
b'DL',734.0,b'MCI',b'ATL',b'3',350.0,129.0,b'0'
b'EV',5165.0,b'AGS',b'ATL',b'3',350.0,60.0,b'0'
b'FL',331.0,b'PHL',b'ATL',b'3',350.0,145.0,b'0'
b'MQ',2734.0,b'ABI',b'DFW',b'3',350.0,50.0,b'0'
b'MQ',2796.0,b'GRR',b'DFW',b'3',350.0,175.0,b'0'
b'MQ',3014.0,b'FAT',b'LAX',b'3',350.0,65.0,b'0'
b'MQ',3332.0,b'LBB',b'DFW',b'3',350.0,70.0,b'0'
b'MQ',3632.0,b'CLT',b'MIA',b'3',350.0,120.0,b'1'
b'MQ',3781.0,b'LIT',b'ORD',b'3',350.0,105.0,b'0'
b'MQ',3842.0,b'MSP',b'ORD',b'3',350.0,95.0,b'1'
b'MQ',3892.0,b'PHL',b'ORD',b'3',350.0,140.0,b'0'
b'MQ',4013.0,b'LEX',b'ORD',b'3',350.0,95.0,b'0'
b'OH',6498.0,b'ORD',b'ATL',b'3',350.0,128.0,b'1'
b'OH',6629.0,b'GRR',b'DTW',b'3',350.0,61.0,b'0'
b'9E',4391.0,b'MBS',b'DTW',b'3',351.0,59.0,b'0'
b'HA',218.0,b'HNL',b'KOA',b'3',352.0,41.0,b'0'
b'OO',6921.0,b'MOD',b'SFO',b'3',352.0,38.0,b'0'
b'9E',3935.0,b'EWR',b'DTW',b'3',355.0,130.0,b'1'
b'9E',3955.0,b'LBB',b'MEM',b'3',355.0,119.0,b'0'
b'9E',4200.0,b'TYS',b'CVG',b'3',355.0,64.0,b'0'
b'9E',4274.0,b'AMA',b'MEM',b'3',355.0,120.0,b'0'
b'B6',735.0,b'JFK',b'BQN',b'3',355.0,215.0,b'0'
b'DL',377.0,b'BDL',b'DTW',b'3',355.0,130.0,b'0'
b'HA',202.0,b'HNL',b'ITO',b'3',355.0,49.0,b'0'
b'MQ',2864.0,b'SGF',b'DFW',b'3',355.0,90.0,b'0'
b'OH',6262.0,b'OMA',b'DTW',b'3',355.0,137.0,b'1'
b'OH',6414.0,b'AZO',b'DTW',b'3',355.0,58.0,b'0'
b'OO',7014.0,b'RDM',b'SFO',b'3',355.0,101.0,b'0'
b'9E',3668.0,b'TYS',b'LGA',b'3',360.0,131.0,b'0'
b'9E',3724.0,b'ABE',b'DTW',b'3',360.0,115.0,b'0'
b'9E',3755.0,b'SWF',b'DTW',b'3',360.0,120.0,b'0'
b'9E',3757.0,b'BGM',b'DTW',b'3',360.0,103.0,b'0'
b'9E',3795.0,b'SBN',b'CVG',b'3',360.0,60.0,b'1'
b'9E',3845.0,b'AVP',b'DTW',b'3',360.0,105.0,b'0'
b'9E',3850.0,b'FNT',b'DTW',b'3',360.0,48.0,b'0'
b'9E',3871.0,b'BHM',b'DTW',b'3',360.0,125.0,b'0'
b'9E',3875.0,b'GSP',b'DTW',b'3',360.0,115.0,b'0'
b'9E',3893.0,b'FWA',b'ATL',b'3',360.0,115.0,b'0'
b'9E',3923.0,b'IAH',b'MEM',b'3',360.0,95.0,b'0'
b'9E',3957.0,b'ATW',b'MSP',b'3',360.0,76.0,b'1'
b'9E',3985.0,b'DSM',b'MEM',b'3',360.0,100.0,b'1'
b'9E',4008.0,b'BTV',b'JFK',b'3',360.0,100.0,b'0'
b'9E',4026.0,b'ORF',b'DTW',b'3',360.0,125.0,b'1'
b'9E',4058.0,b'LAN',b'DTW',b'3',360.0,50.0,b'0'
b'9E',4239.0,b'ITH',b'DTW',b'3',360.0,97.0,b'1'
b'9E',4272.0,b'ECP',b'MEM',b'3',360.0,90.0,b'0'
b'9E',4324.0,b'DCA',b'JFK',b'3',360.0,82.0,b'0'
b'AA',1056.0,b'TUL',b'DFW',b'3',360.0,70.0,b'0'
b'AA',1140.0,b'SAT',b'DFW',b'3',360.0,65.0,b'0'
b'AA',1143.0,b'TPA',b'DFW',b'3',360.0,170.0,b'0'
b'AA',1215.0,b'DCA',b'DFW',b'3',360.0,210.0,b'0'
b'AA',1225.0,b'COS',b'DFW',b'3',360.0,120.0,b'0'
b'AA',1406.0,b'OMA',b'DFW',b'3',360.0,125.0,b'0'
b'AA',1584.0,b'LAS',b'DFW',b'3',360.0,160.0,b'0'
b'AA',1596.0,b'PDX',b'DFW',b'3',360.0,225.0,b'0'
b'AA',1602.0,b'ELP',b'DFW',b'3',360.0,100.0,b'0'
b'AA',1615.0,b'BDL',b'DFW',b'3',360.0,260.0,b'0'
b'AA',1631.0,b'MSY',b'MIA',b'3',360.0,105.0,b'0'
b'AA',1670.0,b'AUS',b'ORD',b'3',360.0,165.0,b'0'
b'AA',1755.0,b'ABQ',b'DFW',b'3',360.0,105.0,b'0'
b'AA',1839.0,b'OKC',b'DFW',b'3',360.0,60.0,b'0'
b'AA',1843.0,b'BOS',b'ORD',b'3',360.0,175.0,b'0'
b'AA',1878.0,b'SMF',b'DFW',b'3',360.0,205.0,b'0'
b'AA',1921.0,b'EWR',b'MIA',b'3',360.0,185.0,b'0'
b'AA',1965.0,b'STL',b'DFW',b'3',360.0,115.0,b'0'
b'AA',1994.0,b'IAH',b'MIA',b'3',360.0,135.0,b'0'
b'AA',2037.0,b'BNA',b'MIA',b'3',360.0,135.0,b'1'
b'AA',2060.0,b'SEA',b'ORD',b'3',360.0,245.0,b'1'
b'AA',2103.0,b'IAD',b'MIA',b'3',360.0,160.0,b'0'
b'AA',2203.0,b'LGA',b'MIA',b'3',360.0,190.0,b'1'
b'AA',2299.0,b'DTW',b'MIA',b'3',360.0,190.0,b'0'
b'AA',2301.0,b'ORD',b'DFW',b'3',360.0,150.0,b'1'
b'AA',445.0,b'DCA',b'ORD',b'3',360.0,125.0,b'0'
b'AA',526.0,b'SFO',b'DFW',b'3',360.0,215.0,b'0'
b'AA',528.0,b'LAX',b'MIA',b'3',360.0,280.0,b'1'
b'AA',548.0,b'LAX',b'ORD',b'3',360.0,240.0,b'0'
b'AA',552.0,b'SFO',b'MIA',b'3',360.0,315.0,b'1'
b'AA',654.0,b'PHX',b'DFW',b'3',360.0,130.0,b'0'
b'AA',708.0,b'AUS',b'DFW',b'3',360.0,60.0,b'0'
b'AS',454.0,b'SEA',b'LAX',b'3',360.0,150.0,b'0'
b'AS',55.0,b'ANC',b'FAI',b'3',360.0,58.0,b'0'
b'AS',600.0,b'SEA',b'LAS',b'3',360.0,143.0,b'0'
b'AS',62.0,b'FAI',b'ANC',b'3',360.0,70.0,b'0'
b'AS',81.0,b'SEA',b'ANC',b'3',360.0,219.0,b'0'
b'B6',1001.0,b'BOS',b'JFK',b'3',360.0,71.0,b'1'
b'B6',1133.0,b'SYR',b'JFK',b'3',360.0,85.0,b'0'
b'B6',1224.0,b'RDU',b'BOS',b'3',360.0,101.0,b'1'
b'B6',155.0,b'JFK',b'MCO',b'3',360.0,168.0,b'0'
b'B6',162.0,b'RSW',b'JFK',b'3',360.0,156.0,b'0'
b'B6',1695.0,b'BOS',b'MCO',b'3',360.0,192.0,b'0'
b'B6',19.0,b'BTV',b'JFK',b'3',360.0,84.0,b'0'
b'B6',247.0,b'OAK',b'LGB',b'3',360.0,77.0,b'0'
b'B6',370.0,b'FLL',b'LGA',b'3',360.0,159.0,b'1'
b'B6',371.0,b'LGA',b'FLL',b'3',360.0,174.0,b'0'
b'B6',442.0,b'TPA',b'BOS',b'3',360.0,167.0,b'0'
b'B6',45.0,b'ROC',b'JFK',b'3',360.0,83.0,b'0'
b'B6',52.0,b'MCO',b'JFK',b'3',360.0,141.0,b'0'
b'B6',68.0,b'FLL',b'JFK',b'3',360.0,160.0,b'1'
b'B6',701.0,b'JFK',b'SJU',b'3',360.0,218.0,b'0'
b'CO',1045.0,b'CLE',b'IAH',b'3',360.0,190.0,b'0'
b'CO',1428.0,b'CLT',b'IAH',b'3',360.0,180.0,b'0'
b'CO',1617.0,b'MCI',b'IAH',b'3',360.0,118.0,b'1'
b'CO',1810.0,b'SMF',b'IAH',b'3',360.0,220.0,b'0'
b'CO',1815.0,b'OMA',b'IAH',b'3',360.0,138.0,b'1'
b'CO',308.0,b'PDX',b'IAH',b'3',360.0,238.0,b'0'
b'CO',469.0,b'SFO',b'IAH',b'3',360.0,225.0,b'1'
b'CO',759.0,b'DCA',b'IAH',b'3',360.0,206.0,b'0'
b'CO',89.0,b'IAH',b'EWR',b'3',360.0,200.0,b'0'
b'DL',1084.0,b'ANC',b'MSP',b'3',360.0,326.0,b'0'
b'DL',1106.0,b'SEA',b'SLC',b'3',360.0,120.0,b'0'
b'DL',1157.0,b'CMH',b'ATL',b'3',360.0,110.0,b'0'
b'DL',1181.0,b'RSW',b'ATL',b'3',360.0,110.0,b'0'
b'DL',1249.0,b'PWM',b'ATL',b'3',360.0,192.0,b'0'
b'DL',1297.0,b'JFK',b'ATL',b'3',360.0,168.0,b'0'
b'DL',1301.0,b'IND',b'ATL',b'3',360.0,105.0,b'0'
b'DL',1371.0,b'BOS',b'LGA',b'3',360.0,68.0,b'0'
b'DL',1401.0,b'BOS',b'ATL',b'3',360.0,190.0,b'0'
b'DL',1445.0,b'DCA',b'DTW',b'3',360.0,102.0,b'0'
b'DL',1447.0,b'LGA',b'ATL',b'3',360.0,167.0,b'0'
b'DL',1504.0,b'MCI',b'DTW',b'3',360.0,118.0,b'0'
b'DL',1602.0,b'LAS',b'ATL',b'3',360.0,223.0,b'0'
b'DL',1625.0,b'BWI',b'ATL',b'3',360.0,120.0,b'0'
b'DL',1767.0,b'CLT',b'DTW',b'3',360.0,115.0,b'0'
b'DL',1831.0,b'PDX',b'SLC',b'3',360.0,107.0,b'1'
b'DL',1889.0,b'CVG',b'ATL',b'3',360.0,103.0,b'0'
b'DL',1949.0,b'RDU',b'ATL',b'3',360.0,87.0,b'0'
b'DL',2205.0,b'MDW',b'ATL',b'3',360.0,120.0,b'0'
b'DL',2280.0,b'STL',b'ATL',b'3',360.0,110.0,b'1'
b'DL',2437.0,b'CLT',b'ATL',b'3',360.0,82.0,b'1'
b'DL',2480.0,b'SEA',b'DTW',b'3',360.0,253.0,b'0'
b'DL',2525.0,b'BOS',b'MSP',b'3',360.0,210.0,b'1'
b'DL',2530.0,b'BZN',b'MSP',b'3',360.0,138.0,b'0'
b'DL',2581.0,b'SDF',b'ATL',b'3',360.0,84.0,b'0'
b'DL',2806.0,b'SFO',b'MSP',b'3',360.0,222.0,b'0'
b'DL',2816.0,b'LAS',b'DTW',b'3',360.0,233.0,b'0'
b'DL',725.0,b'SFO',b'SLC',b'3',360.0,113.0,b'0'
b'EV',4942.0,b'JAX',b'DCA',b'3',360.0,112.0,b'0'
b'EV',4946.0,b'ABY',b'ATL',b'3',360.0,50.0,b'0'
b'EV',4979.0,b'TRI',b'ATL',b'3',360.0,67.0,b'0'
b'EV',4998.0,b'XNA',b'ATL',b'3',360.0,119.0,b'0'
b'EV',5011.0,b'ROA',b'DTW',b'3',360.0,98.0,b'0'
b'EV',5027.0,b'MLI',b'ATL',b'3',360.0,130.0,b'0'
b'EV',5079.0,b'LYH',b'ATL',b'3',360.0,85.0,b'0'
b'EV',5141.0,b'EVV',b'ATL',b'3',360.0,80.0,b'0'
b'EV',5169.0,b'HPN',b'ATL',b'3',360.0,151.0,b'0'
b'EV',5265.0,b'SYR',b'DTW',b'3',360.0,115.0,b'0'
b'EV',5275.0,b'FAY',b'ATL',b'3',360.0,86.0,b'0'
b'EV',5313.0,b'EWN',b'ATL',b'3',360.0,98.0,b'0'
b'EV',5316.0,b'CSG',b'ATL',b'3',360.0,44.0,b'0'
b'EV',5366.0,b'SGF',b'ATL',b'3',360.0,119.0,b'0'
b'EV',5374.0,b'CAK',b'ATL',b'3',360.0,109.0,b'1'
b'EV',5387.0,b'GPT',b'ATL',b'3',360.0,80.0,b'1'
b'EV',5435.0,b'MLU',b'ATL',b'3',360.0,98.0,b'1'
b'EV',5460.0,b'MOB',b'ATL',b'3',360.0,77.0,b'1'
b'EV',5479.0,b'LFT',b'ATL',b'3',360.0,120.0,b'0'
b'EV',5491.0,b'OAJ',b'ATL',b'3',360.0,98.0,b'0'
b'EV',5507.0,b'CHO',b'ATL',b'3',360.0,102.0,b'0'
b'EV',5564.0,b'ILM',b'ATL',b'3',360.0,88.0,b'1'
b'EV',5605.0,b'ROA',b'ATL',b'3',360.0,86.0,b'0'
b'EV',7070.0,b'ROA',b'ORD',b'3',360.0,116.0,b'0'
b'EV',7075.0,b'DTW',b'IAD',b'3',360.0,90.0,b'1'
b'EV',7086.0,b'DAY',b'IAD',b'3',360.0,90.0,b'0'
b'EV',7097.0,b'CMH',b'ORD',b'3',360.0,82.0,b'0'
b'EV',7100.0,b'CAE',b'ORD',b'3',360.0,128.0,b'1'
b'EV',7116.0,b'JFK',b'IAD',b'3',360.0,81.0,b'0'
b'EV',7323.0,b'BMI',b'ATL',b'3',360.0,115.0,b'0'
b'EV',7378.0,b'DEN',b'CVG',b'3',360.0,158.0,b'0'
b'F9',225.0,b'MDW',b'DEN',b'3',360.0,157.0,b'1'
b'F9',377.0,b'BOS',b'MKE',b'3',360.0,165.0,b'1'
b'FL',143.0,b'DTW',b'ATL',b'3',360.0,125.0,b'0'
b'FL',155.0,b'IND',b'BWI',b'3',360.0,105.0,b'0'
b'FL',183.0,b'DCA',b'ATL',b'3',360.0,123.0,b'0'
b'FL',200.0,b'CAK',b'ATL',b'3',360.0,120.0,b'0'
b'FL',254.0,b'FNT',b'ATL',b'3',360.0,134.0,b'0'
b'FL',281.0,b'BOS',b'ATL',b'3',360.0,180.0,b'0'
